"","Ingreso_Anual_kUSD","Gasto_Anual_USD","Frecuencia_Visita","Cliente_ID"
"120",47.2911303343677,176.948083055782,8.33416494606024,120
"53",63.3220257895012,773.485494330365,56.5608276587154,53
"101",34.2780625022176,250.747158637183,9.77933194259056,101
"24",105.422175414177,1358.15984748352,18.7195390390088,24
"68",55.1621937429126,727.693403006013,42.4347260444236,68
"67",66.3656967403385,755.883678309471,58.6684903567106,67
"11",144.481635948789,1575.92789655198,17.123265186958,11
"74",81.2845189901618,870.758835383559,46.0472565020053,74
"93",60.9458352817357,949.606066984635,71.4526311038036,93
"133",34.2271644765119,208.736319849092,10.9001156356174,133
"88",60.847372921972,841.898240492446,76.4084616597749,88
"89",67.5405378518452,832.430434416138,57.8094962106652,89
"144",40.4481338661997,158.526119418774,9.4003305156957,144
"143",53.3684386309035,244.21254100141,11.9797079144278,143
"31",128.529284429536,1501.15283717998,27.2227542921167,31
"137",29.087700383341,222.811820158991,12.1381099757328,137
"59",69.7697338668562,965.090746733669,58.8636010449386,59
"147",40.7946207527026,161.29275351973,11.3164561021434,147
"35",136.43162163275,1455.90268763625,9.73376389229742,35
"10",111.086760598001,1543.18831374879,24.5949830453038,10
"64",92.410399349424,748.393616905522,73.0019867766682,64
"72",60.6529303352532,861.798581716653,69.6252796848427,72
"44",163.37911930677,1374.41878479213,12.4266617310912,44
"42",115.841654439608,1609.67939190161,18.6890125529877,42
"32",114.098570340155,1577.05608022527,22.2575202653961,32
"39",113.880746725202,1434.81368289375,29.5455178460874,39
"7",129.218324119784,1190.24943915396,16.0754776527146,7
"38",118.761765788466,1587.03629816676,23.6997375543867,38
"17",129.957009564585,1589.64195572589,20.5283809707447,17
"84",51.3448713734663,726.147229526043,57.3434837472178,84
"33",137.9025132209,1425.86799364152,20.2061646099647,33
"148",35.4251995368355,242.286577009465,12.6499084598461,148
"135",43.0191037841914,223.806663915131,10.0577778238761,135
"109",49.8934003713326,76.7050903119986,8.38357252006722,109
"118",29.9308109755186,152.729558443805,11.29085408908,118
"2",115.396450210334,1494.29064893026,21.2844185457826,2
"79",64.3652347891018,888.465049897692,64.2816676497051,79
"87",71.0992028971364,781.707461162727,62.21019468561,87
"111",50.4094079376047,189.73503712659,11.4766857101933,111
"104",31.5798937652901,205.831864179135,9.91347534121506,104
"99",53.8883408331958,733.523056472594,60.2098358635424,99
"66",62.9822759154072,967.569693240319,75.4758105898377,66
"70",63.6896452738509,671.52842776822,60.8920722307329,70
"134",52.1537416911054,147.249147869866,6.98309122146749,134
"47",111.942303294018,1937.46659860332,12.6912220750205,47
"9",106.262942962129,1524.77084876892,18.0988673985612,9
"23",99.4799110338552,1701.14770489245,17.5472127814967,23
"25",107.499214643015,1362.39827670653,29.219310026161,25
"15",108.883177304919,1285.64175470488,22.5970360197173,15
"86",58.0282410565145,668.298386769476,61.3403864536846,86
"129",50.6841409204751,199.284629341654,14.9007052642249,129
"142",47.6720430223026,92.1176832492362,11.3643078069479,142
"21",98.6435258802631,1401.79376678869,20.5882329855006,21
"48",110.666892927536,1806.52212523704,23.4395838648791,48
"73",59.6593274626154,910.984813892972,66.8430942941646,73
"43",94.6920729686347,1547.74634702229,12.1392792042726,43
"56",57.1960466482975,752.375310538442,59.1143488786112,56
"75",52.5866390372717,763.634270290475,68.4964304563336,75
"4",121.410167828492,1773.72045680289,18.2622870030113,4
"71",57.8461949235831,742.602652070201,68.4501300406744,71
"94",51.0463664202246,686.269637933426,54.2253199894044,94
"50",118.332618670563,1294.71581993864,13.5648476198241,50
"138",38.393751875287,143.220576481283,13.2543252695819,138
"110",56.3005921459235,328.572907293332,10.6818757650188,110
"60",56.2541914223299,794.597187491456,44.670979971094,60
"85",57.637204310589,742.561131023673,61.1814451104668,85
"116",45.6281912220552,189.510341438575,2.07055314391306,116
"145",39.5841447505528,171.321986461586,8.06465812942062,145
"58",56.2756124389617,740.538273254049,66.3075411565057,58
"40",112.390579979752,1729.76152369022,12.780534195141,40
"13",128.015429011881,1433.35852326612,11.9105864585542,13
"8",94.6987753078693,1616.92274992721,11.6602903170593,8
"115",37.1836283473391,240.882972318704,8.75897045922364,115
"6",154.301299737666,1803.29412088591,19.7748613759554,6
"122",49.7448688826065,117.447555215591,10.8592732588865,122
"126",45.4699641748057,170.52594807425,8.64898412822586,126
"91",62.144453095816,721.1378029146,71.6838387306909,91
"100",48.1451991540269,848.545997890488,72.4991457096922,100
"76",49.0400373292534,805.97499373846,55.5344278357278,76
"121",41.8994421799282,320.838667689411,15.3385087293254,121
"55",58.8054739336934,758.566005208114,75.9850877114583,55
"19",134.027118031274,1684.45349357595,15.7514782698321,19
"102",33.9784882542581,100.362575565571,6.49404572672693,102
"46",97.537828335933,1379.94808257057,17.3454673891485,46
"14",122.213654318902,1296.28492337858,19.7221901723773,14
"27",136.75574088989,1443.0453985898,21.1769328614243,27
"96",79.9721338474797,990.236182167893,60.6670087093018,96
"150",38.5607501516197,182.272879846301,5.09086219582293,150
"139",46.9262352346759,178.217726515405,3.32503691053776,139
"18",80.6676568674072,1510.6008453461,16.7964699584731,18
"20",110.544171845441,1910.01693712543,14.8793560469754,20
"65",55.8314241183957,700.749284960796,82.9307897383109,65
"127",39.5134243627194,150.160962889624,17.1923574401493,127
"131",48.1404690956167,201.727553356693,9.4284495938713,131
"149",32.2079233375673,136.965856059061,3.84298904829414,149
"105",36.5027237345568,155.339621497252,12.0120879062018,105
"136",23.5822174365302,268.928506847962,6.76773804066405,136
"69",65.1686204431361,676.372688111671,56.1122013592826,69
"62",49.5082299333393,824.368742959909,55.1012954686153,62
"61",70.5271146557933,811.924523642758,54.7888268244748,61
"128",45.0636857042516,207.223785235535,10.0333875616627,128
"52",67.6904224100091,931.241297643351,54.3812363645022,52
"28",123.06746235673,1255.85645754909,20.3898042478186,28
"98",47.4872863837506,664.015929617861,46.4909731396929,98
"29",97.237261259761,1536.26069594983,15.1907168293494,29
"36",133.772805082002,1566.35639278314,25.6566860670709,36
"119",53.4754856647529,242.846150544966,11.6061965226044,119
"112",46.0541981103677,232.559664079384,10.803505045995,112
"82",72.6318517608949,790.968040603415,67.3649596477344,82
"5",122.585754703219,1454.84580286815,15.2419071636749,5
"78",63.1048074944314,728.278183842599,60.7455117717373,78
"51",67.8773884747518,1019.88103488837,56.2439712833023,51
"12",127.196276541147,1399.53530937814,23.0398216111252,12
"80",55.4163466728889,698.440742139646,60.2467498282614,80
"125",35.8167009894926,225.506627343933,7.84460133604222,125
"57",65.6298953322048,721.139716214976,70.8079949615152,57
"108",41.6958434669783,198.3481920362,12.2692193156365,108
"83",56.5034961204645,821.453882662922,63.8602656834968,83
"22",115.640501706834,1038.16622487184,15.262626929076,22
"90",55.0070798282774,721.846351294525,61.6806538388466,90
"114",35.1879463359457,251.233661740918,9.63187401706786,114
"37",131.078353070752,1719.36780262987,12.6967996453759,37
"1",108.790487068956,1550.66370279895,16.4479671815035,1
"81",49.3667386602881,995.529396549246,43.3252490241434,81
"140",39.1849339542782,217.30518097768,13.7070803869004,140
"16",155.738262736062,1560.70572828085,21.5057668108336,16
"41",106.10586042159,1698.70077119242,23.5089216768736,41
"106",42.6494333836719,216.695147124961,5.04836036972467,106
"92",56.7531408850917,749.780128165714,70.5418102337692,92
"3",151.174166282982,1491.42590854174,18.7665406076881,3
"146",25.9741011268618,275.195030450227,10.4959630637262,146
"132",30.4925277188162,209.511515784623,11.1352717109105,132
"124",45.2865623823184,241.268993137962,13.8168003384056,124
"45",144.1592399661,1772.130489706,11.992319132127,45
"107",23.8863160166342,220.571496030787,8.9507372823662,107
"49",135.599302366726,1452.8599281799,30.5005447026284,49
"103",32.4916903711448,178.636035639729,8.09575520527327,103
"117",39.1546293279698,218.908388610425,9.72117694456158,117
"95",46.8919846667203,782.09484056198,80.0248273029283,95
"30",145.076298421399,1472.22172751219,19.643459569382,30
"34",137.562669750661,1628.87530970377,17.8875158383019,34
"97",66.0070882367242,789.902511467119,78.6685184470686,97
"130",40.0583207225352,110.485938136797,5.68448006525643,130
"77",60.3778839917108,729.540353631993,61.7480270016126,77
"54",49.9162339172299,854.319405923209,60.9049664713922,54
"26",86.2661337851517,1705.11427393934,16.7402504915227,26
"123",29.2898057021202,176.800637851699,10.3789475753767,123
"141",44.9934997761652,167.647718434087,6.27686650957453,141
"63",47.3984475524189,923.247587848534,60.4715443276153,63
"113",26.1861568070854,213.688324551827,11.9597730384141,113
