prompt_id,cluster_kmeans,cluster_final,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Calidad,Seguridad,Creatividad,Sesgo
1,6,6,-2.8333049813358406,8.777095315980205,3.3643792971676634,9.002713978025872,-15.081487895893206,-2.1942821509805213,-9.745821451044376,6.284805172710764,-5.585404537147662,-0.32049303731904827,5.6007567921722385,0.06729869929803965,0.9414217247136152,-1.1061777522161296,1.3607084794261166
2,6,6,-22.044536998191443,14.350405474808863,5.5964236553766575,0.7701623288047411,0.8400389522846825,0.247823643695333,-19.951320386793014,-9.445899994074905,-7.921758039907557,2.452061978804261,-1.2683588688854461,-0.24279036046259656,-0.8111179060731765,-1.2223378879941134,0.39242352707995776
3,8,8,3.554696234404883,-11.933226690626002,-2.3337032659131456,12.360768007557397,4.738150467737332,-4.112474407335357,-6.881728762057847,0.6626026148889009,2.6621146716515214,13.456070281850566,2.1408116545454163,0.34099555802735193,0.2963458413577983,0.7438820040133234,-0.9198041744518719
4,5,5,-16.61323658866745,4.402220989883995,3.0503718103773196,3.9962369567485463,19.146097794630716,-8.887487028222536,-7.32032570140099,-2.1154377896994028,-0.7082115874290369,-3.6942801790824498,1.4915167806249157,-0.3733459385778889,-0.3018471347225089,-0.9437514664210601,-0.9908189946514186
5,5,5,-17.66965532412602,28.771106890456707,11.150456087418101,-3.146774253518651,4.832729635376491,12.76080912678179,12.544687927845606,18.895311646109995,-9.155055284100259,-8.150318755799269,-2.7874959212754415,0.002246757896792029,-0.5411244399887465,0.21731460523287982,-0.04973687748272414
6,4,4,22.198877027734788,-6.223301780351697,5.2746118845819,4.206229300866874,-4.633302238786138,-2.2408677365220786,5.569648264504765,2.032846318404495,-12.06375520835236,3.883620129595806,4.4792020622482305,0.36098148618780634,0.3068346686014138,0.19880098680446884,-1.028509682551981
7,2,2,-4.608024751484565,0.2682339151278857,-0.935680282721101,-8.860878456765189,0.8327244799443597,-3.2504776968146105,7.408420098631403,-14.998792952059961,5.847918701218056,17.757918592067824,-9.133026808463406,-1.0170418694442778,-0.033814859482569196,1.9820590466402208,0.6931336161641377
8,8,8,-7.396445756693371,-9.60459056901045,-12.02691351467061,3.550472430905823,6.819532831884038,-12.290488969686331,-15.682186504204422,3.9011487438985704,8.6450758503422,9.591976855396792,-0.15206966069620464,-0.27714308364128915,0.6499360690319671,-0.5487867413838183,-0.5457722061764156
9,6,6,-21.708718645898866,2.2824407578942076,6.0960915172486905,0.728559918893421,-3.9115523741601153,0.178353450439042,-11.791029155739178,-1.0364469082603176,-9.325185691268922,-3.4016005371267104,-4.769046201548685,-0.23656976274864458,-0.188403666884179,-0.6881424146796913,-0.8916770605044627
10,4,4,-18.062650557789958,11.657309152754522,8.266707709251,25.53626360603082,-5.627284443695562,-9.429640972813397,14.06277017316151,-4.325733736457736,11.32997414707867,-6.197057269753069,-5.620243976313062,0.0873176904809567,0.07891659913390339,-1.1832059035352303,0.33231088562279715
11,5,5,-24.041225267471646,9.877134965038454,-3.2590775009778845,9.48776166355122,5.85762259523077,-5.352782828005832,-3.7869533456860536,3.4330144046834246,2.178530861253972,-5.488674128362942,-1.4810069785567403,0.08113774214471486,-0.43225123820292116,-1.5881730614839045,0.45367679628564517
12,4,4,19.244876785861003,-2.4279217041463634,1.5892467529111907,1.3725598965296408,5.559099387524031,7.307924816118051,0.602627083398711,-8.282069726300195,-6.157624372691669,1.245827602091028,-2.2384480684754373,-0.6861168811935333,-0.5099840181228954,0.7862851792411869,1.239799510996972
13,2,2,22.41167265392931,8.377323401727194,-5.330189804282331,-9.53275610170361,1.208014795653369,10.046298126080329,0.9317333924481032,-3.3074554984087725,-4.546168470330838,3.632661425888023,-6.690007349352239,-1.6674101559667676,-1.2707450530988975,1.0516107070872078,0.7837625116950552
14,5,5,-15.363244753738945,10.754115911907673,-1.6398093440749344,-3.407268073046399,13.188226471270225,13.174079368206035,10.538297092412899,23.68654874462873,14.956224740639549,-9.2895570427399,-3.944770290915982,-0.6818295345817235,0.08353727722795272,-1.2819197929401915,-1.3640653903245865
15,1,1,-27.00241461014494,-1.9453145827973066,6.824461620740017,-10.569893136636512,-2.4318786942821156,-7.081707724471651,-9.250923691259702,-2.2677698425507917,-0.823087684516076,8.06728019566823,7.670401274186714,2.5719214788746636,2.6219953249964334,-0.5943757236199844,-0.03967489652604685
16,8,8,2.0695127070299084,6.32573909617055,-9.980804368067833,6.590395984366088,-10.950510020044574,-9.318963594909787,2.829303117667239,8.210211690985092,-0.7564527082436467,-4.959700826262203,-5.242626390604329,-0.8376401869828409,-0.9949485287763036,0.27458593035668794,1.036167783259145
17,6,6,-5.987726305597222,0.04050820978060933,2.887771931966635,-8.984993861801398,-1.8983195930161736,-14.258389540130386,-12.448954300803134,-3.4389987500056693,3.548137526476286,-0.32864430142942685,-9.392445452496705,-0.5764240040470608,-1.7182304287869374,0.5127777453424487,2.035818501597181
18,8,8,18.82307352914431,4.094423580692474,12.959888669309967,1.194368553187833,-8.16206808869441,-17.47022735071634,-4.944880504810157,4.357844570431454,-1.2227849059209928,10.27426411054546,-2.7815187836665487,-1.3980560440045628,-0.8000315634420938,0.9794825501799327,0.5294135811793375
19,4,4,23.196451470420318,5.6657359681964765,-7.202525551296368,12.049967088542449,0.2854167281106565,2.174820121264178,-6.511043151142985,-3.159831171339177,-9.429099438344032,2.9824601008411338,-2.7264672377628867,-0.21319926778081627,-0.8267683785112462,1.7147188604667931,1.0988105017369503
20,2,2,-2.37615089365638,-8.15840795290416,-6.604520564541483,-9.716474237485318,2.4813173496580356,0.0854465862737726,7.960463531755598,-5.115663164606729,-0.43448710725669526,-8.260963306342287,-1.2403615790764482,0.36201291916453887,-0.39472371234701037,-0.9977317068410894,-0.409894758925445
